,title,summary,url,date,article_content
0,Tencent gains approval to sell mutual funds to WeChat users,"Tencent has been granted a licence from the China Securities Regulatory Commission to sell third-party mutual funds directly. The development will allow the company to make better use of its popular messaging app WeChat to sell investment products, analysts have noted. WeChat has close to one billion users. The firm will now have more control over wealth management services offered via WeChat, rather than relying on third-party partners, analysts added. It's also predicted Tencent could seek to turn its payment service, Tenpay, into a full financial service platform. The company previously obtained licences for mobile payments, insurance and micro-financing. 
",http://www.scmp.com/business/companies/article/2126876/tencent-granted-licence-sell-mutual-funds,2018-01-04 11:49:58.900000,Traditional finance houses now being seriously challenged in the wealth management market by emerging internet financial companies
1,"India testing blockchains in education, health, corruption fight","India is testing blockchain applications in education, health and agriculture, among other sectors of the economy, and is working on a proof-of-concept platform, according to an anonymous senior government official. Government think tank Niti Aayog co-hosted a blockchain hackathon alongside start-up Proffer in November. Reports the same month revealed the think tank was also developing a fraud-resistant transaction platform called IndiaChain, which is expected to be linked to national digital identification database IndiaStack.
",https://www.vccircle.com/niti-aayog-explores-blockchain-usage-in-education-health-and-agriculture/,2018-01-04 11:33:08.257000,"The Indian government's policy think tank, Niti Aayog, is testing waters to employ blockchain technology in education, health and agriculture, several media reports stated.

The top government think tank is developing a proof of concept to take advantage of the new technology in key sectors, a senior government official told The Economic Times on condition of anonymity.

The think tank along with blockchain startup Proffer, which was founded by MIT and Harvard graduates, held a blockchain hackathon from 10 November to 13 November 2017 at IIT Delhi, a report in YourStory said in November last year.

About 1,900 students from the IITs, MIT, Harvard University, UC Berkeley College of Engineering, and top engineering institutions around the world participated in the event. AgroChain, a blockchain-based marketplace that helps farmers and consumers through co-operative farming, bagged the first prize at the competition, the report added. The marketplace was developed by students from the Indian Institute of Information Technology and Management-Kerala (IIITM-K).

Niti Aayog has also been working on developing a country-wide blockchain network called IndiaChain which looks to reduce corruption and frauds, maximise transparency of transactions, report in November 2017 in technology news website Factor Daily had stated. The think tank is also expected to connect the blockchain infra to IndiaStack—the country's digital identification database, the report added.

Blockchain technology uses cryptographic tools to create an open and decentralised body of data, which can include banks transactions and the like. The data record can be verified by anyone involved in the transaction and information can be tracked via a secure network."
2,Higher living wage risks robot takeover of low-paid jobs: report,"The UK Institute for Fiscal Studies has warned that a higher National Living Wage brings with it the possibility of more jobs being automated, as employers look to keep costs down. The current £7.50 ($10.18) hourly rate is set to rise to £7.83 in April and could rise to £8.56 by 2020. IFS research economist Agnes Norris Keiller said there was a ""negligible impact on employment with the 2015 hourly rate of £6.70 and added: ""beyond some point, a higher minimum must start affecting employment, and we do not know where that point is"".
",https://news.sky.com/story/ifs-living-wage-increases-are-automation-threat-to-jobs-11194890,2018-01-04 11:32:10.223000,"Increases in minimum wage levels risk raising the pace of mechanisation in the workplace, according to the Institute for Fiscal Studies (IFS).

A report for the economic think tank urges ""extremely careful"" monitoring of wage rates over the coming years as statutory pay goes up and employers look to cut costs.

The National Living Wage, which applies to workers aged 25 and over, is set to rise to £7.83 per hour from April from a current rate of £7.50.

Current ambitions will see it hit 60% of median wages in 2020 - around £8.56 if forecasts prove accurate.

Please use Chrome browser for a more accessible video player Could robots replace human workers?

The IFS said those set to be brought within the minimum wage net in 2020 are more than twice as likely to be in the 10% most ""routine"" occupations as those who were directly affected by the minimum wage in 2015.

Advertisement

It said that leaves roles such as retail cashiers and receptionists at the mercy of potential automation. However, the report admitted the future was ""uncertain"" and that the loss of some jobs to automation could open other opportunities.

The report was released after a separate study in the summer warned that 15 million UK jobs ""could disappear due to technological disruption"".

IFS research economist Agnes Norris Keiller, who wrote the study, said: ""The fact that there seemed to be a negligible employment impact of a minimum at £6.70 per hour - the 2015 rate - does not mean that the same will be true of the rate of over £8.50 per hour that is set to apply in 2020.

""Beyond some point, a higher minimum must start affecting employment, and we do not know where that point is.""

She added: ""Meanwhile even higher rates, as proposed for example by the Labour Party, would bring even more employees in more automatable jobs into the minimum wage net.""

Shadow business secretary Rebecca Long Bailey said: ""Technological change, if harnessed effectively, could bring about immense benefits - transforming jobs and workplaces and driving up productivity and living standards.

""All workers should be paid a full and fair wage, which is why Labour has pledged to introduce a Real Living Wage of at least £10 an hour by 2020, as well as support for smaller businesses to pay it.

""Labour will invest in our country's future, new technologies, our businesses, our infrastructure and people. Higher wages, good jobs, greater investment in skills and technology to boost productivity and high employment all goes

together. They are complements, not trade-offs.""

A Government spokesman responded: ""The National Living Wage is creating a stronger economy and a fairer society, having delivered the fastest pay rise for the lowest earners in 20 years.

""But we also want to create highly-skilled, well-paid jobs for the future, backing innovation and supporting the development of new skills through our Industrial Strategy.

""That's why the Government is working with industry to ensure the benefits of new technologies are felt across different sectors and regions."""
3,Regus WeWork may seek stock-market flotation this year,"Co-working start-up WeWork may go public this year after its valuation rose to $21bn from $18bn in 2017. WeWork acquired a number of smaller companies in the past year, including Meetup and Spacemob, and also bought the former Lord & Taylor building on New York's Fifth Avenue for $850m to serve as its headquarters. Co-founder Adam Neumann confirmed last year that the company intends to go public, and with the stock market performing well for tech companies, 2018 appears a good time.
",https://www.fool.com/investing/2018/01/03/will-wework-stock-go-public-in-2018.aspx,2018-01-04 11:31:59.617000,"Depending on whom you ask, WeWork is either a brilliant company that is re-imagining office space and the modern workplace, or a glorified, overvalued real estate play with no sustainable competitive advantage.

One thing is clear: The start-up is making waves in the business world and real estate market as it now commands a valuation of $21 billion, up from $18 billion earlier last year, just eight years after its founding in 2010. It's received investments from the likes of Softbank, Fidelity Investments, and JPMorgan Chase along the way.

Last year was a big one for the co-working specialist as the company made a number of acquisitions, taking over Meetup, The Flatiron School, and Spacemob, among others, and making a splashy real estate play with its $850 million purchase of the Lord & Taylor flagship building on Manhattan's Fifth Avenue, which will become the company's new headquarters.

With WeWork's valuation north of $20 billion, revenue on track for over $1 billion last year, and a pedigree as a disruptor, it's not a surprise that investors would be anticipating the company's IPO (initial product offering). Co-founder Adam Neumann reiterated last summer that the company plans to go public.

Before we explore whether WeWork will debut on the market this year, let's take a look at how far the company has come.

What is WeWork?

Like Airbnb or Uber, WeWork is a company distinctly of the mobile and digital era. The internet has rewritten the norms of white-collar work, allowing those in industries like media, design, and tech to work from anywhere with an internet connection.

WeWork capitalized on this shift by creating workspaces that cater to freelancers, entrepreneurs, and small businesses looking for customizable office space and the community that a WeWork hub fosters. The company leases office space and redesigns it to attract millennials in the knowledge economy as well as others looking for office space.

Founders Neumann and Miguel McKelvey started a similar business in 2008 in Brooklyn called Green Desk, as an eco-friendly co-working space, which paved the way for WeWork after they sold Green Desk to their landlord in 2010. Making community the central focus, the pair opened the first WeWork in New York in April 2011. Today, WeWork is growing quickly, with its locations nearly tripling over the last year, and the company now has 275 locations across 59 cities around the world. WeWork is even experimenting with living spaces with WeLive, which has two locations, one in New York and one in Washington, D.C., and offers short- or long-term housing in community-focused microapartments based on the WeWork model.

Will 2018 be the year?

While the company has given no indication of when it would issue an IPO, there's good reason to think that WeWork could go public this year. The company said last year it would reach the key milestone of $1 billion in annual revenue, nearly doubling sales from a year ago. The stock market -- especially tech stocks -- is strong, as the Nasdaq jumped 28% last year and the valuation of the S&P 500 is as high as it's been since the tech bubble. Not all IPOs have been winners lately, as Snap Inc and Blue Apron were duds, but WeWork looks like the type of company -- the clear leader in a new industry and demonstrably profitable on a unit business -- that would generate excitement among investors. When it opens a new location, WeWork says it takes a loss for the first few months, but locations are generally profitable nine months after opening.

Having just scored a $4.4 billion investment from Softbank in August, WeWork may not necessarily need the cash that would come with an IPO, but the company has been expanding fast and spending money to boot with its $850 million purchase of the Lord & Taylor building and its $200 million acquisition of Meetup in November 2017. If the company seeks more such acquisitions, tapping the public markets may be its best option for a cash influx.

WeWork may also want to be mindful of the lesson in Uber's travails as a private company; the ride-hailing specialist may have waited too long to go public as it's now saddled with a slew of image problems after a number of scandals, not to mention regulatory challenges. WeWork's reputation in that area remains spotless for now, but it needs to avoid mistakes that would potentially damage that reputation.

With the market roaring, investors hungry for new tech IPOs, and a strong economy pushing WeWork's growth, 2018 could be a great year for WeWork stock to go public."
4,AMD poised to gain market share as Intel pounded by chip flaws,"Intel has seen more than $11bn wiped off its market value following a report by The Register of two vulnerabilities in its microprocessors that could lead malware to stored password data. In contrast, shares in rival Advanced Micro Devices (AMD) rose 10% after the company said there was a ""near zero risk of exploitation"" despite its chips being affected by one of the vulnerabilities. Computers using Intel chips from the past 10 years could be affected, including those running Microsoft Windows and Apple OS X. AMD now has a chance to eat into Intel's 99% share of the data-centre market.
",https://www.cnbc.com/2018/01/05/amd-is-big-winner-from-chip-flaw-fiasco.html,2018-01-04 11:17:13.277000,"AMD is big winner from chip flaw fiasco as more than $11 billion in Intel stock value is wiped out 11:43 AM ET Fri, 5 Jan 2018 | 00:43

Investors are piling into AMD shares and selling Intel stock after major chip security vulnerabilities were revealed earlier this week, and it totally makes sense.

Enterprises will likely diversify their chip security architecture risk for mission-critical applications by buying more AMD server chips. The company's ""architecture differences"" have proven immune to the more problematic one of the two disclosed vulnerabilities.

British tech website The Register reported Tuesday that some Intel processors have a ""fundamental design flaw"" and security issue, which spurred the company to confirm the problem later in the day.

AMD shares are up 10.4 percent in the two days through Thursday following the report, while Intel's stock declined 5.2 percent in the period, wiping out $11.3 billion of shareholder value.

One of the two vulnerabilities, called Meltdown, affects Intel processors. The other, named Spectre, could affect chips from Intel, AMD and Arm.

Intel said Wednesday that performance degradation after security updates for Meltdown ""should not be significant"" for the average user. But on a call with investors, the company admitted a decrease in performance of up to 30 percent was possible after fixes under some ""synthetic workloads.""

Bank of America Merrill Lynch told clients the big Intel performance hits were ""likely for enterprise and server workloads.""

On the flip side, AMD said any performance hits will be ""negligible"" after Spectre-related security software updates and there is ""near zero risk of exploitation."" The company also confirmed it is not affected by Meltdown due to processor ""architecture differences.""

Researchers and Apple said Spectre is more difficult to exploit.

Multiple Wall Street analysts predicted AMD will take advantage of the Intel's security issues.

AMD could use it as ""a marketing edge given differing architectures and no vulnerability yet,"" Mizuho Securities analyst Vijay Rakesh wrote in a note to clients Wednesday.

Intel's high-profit data-center business, which sells server chips to cloud computing providers and enterprises, is the chipmaker's crown jewel.

Rakesh noted that Intel had 99 percent market share of the data-center market, representing a huge opportunity for AMD.

Analysts estimate that Intel's data-center group will generate $18.5 billion in sales and $7.4 billion in operating profit in 2017, according to FactSet.

""Longer-term customers could be more motivated to find alternatives at AMD and possibly ARM (CAVM benefits) to diversify the architectural risks,"" Bank of America Merrill Lynch analyst Vivek Arya wrote Thursday. ""AMD appears poised to be the most direct beneficiary.""

An AMD gain of significant market share in the server market is not unprecedented. The company hit 25 percent share in 2006. If AMD is able to reach 10 percent or 15 percent market share of the data-center business, it could add billions in revenue to the company's financial results.

Any increase will be a boon for AMD because the Wall Street consensus for the company's 2017 estimated sales is just $5.25 billion.

One leading tech industry analyst says the chipmaker will do just that.

""The news of Intel's processor security issue and the potential performance degradation to correct it comes at an inopportune time as Intel currently faces heavy competitive pressure from its long-time nemesis, AMD,"" Fred Hickey, editor of High Tech Strategist, wrote in an email Thursday. ""AMD's new line of chips is a significant challenger for the first time in many years (since AMD's Opteron chip days).""

AMD launched new line Epyc data-center processors to much fanfare last June with design wins at cloud computing providers Microsoft Azure and Baidu.



""For Intel, it likely means loss of market share (lower revenues) as well as loss of pricing power (lower gross margins) as the advantage shifts to the buyers and away from Intel, which has totally dominated the PC/computer server processor market in recent years,"" Hickey said. ""AMD's new processor chips already had momentum and that momentum will likely be propelled further by the recent security issue disclosures."""
5,Demand for cyber coverage rises 50% in India,"Demand for cyber insurance among Indian companies has spiked by roughly 50%, with around 250 top companies opting for coverage. Indian underwriters reportedly began offering such policies only three years ago. Increased popularity of this type of insurance comes following a 2017 hack on public-sector lender Union Bank of India. The attack resulted in $171m being debited from the bank's account without authorisation. 
",https://economictimes.indiatimes.com/industry/banking/finance/insure/demand-for-cyber-cover-jumps-50/articleshow/62360112.cms,2018-01-04 11:10:54.450000,"MUMBAI: About 250 companies, including some of the top staterun banks , have bought cyber insurance cover, which is 50% more than what was sold in the past year. With rising attacks, insurers expect robust future demand for cyber risk insurance in India.Today, cyber risk is the most discussed risk topic-area in board rooms. Marsh India, a Mumbai-based insurance broking firm with a large share in the cyber segment, saw a 50% increase in companies buying cyber security cover in 2017 compared with 2016.Cyber liability insurance has been around in the international markets for more than a decade. However, Indian insurers have started writing this business for only three years now. It covers losses arising from a cyber attack or incident of data breach. Mostly banks and ecommerce companies have been buying large covers.The size of cyber insurance premium is Rs 200 crore. It is expected to grow to Rs 400 crore in the next couple of years. There is huge demand for cyber insurance policies after the telecom revolution and various initiatives have pushed increasing digitisation of the economy. “Cyber insurance is going through a similar phase of active dialogue which we saw for Directors’ and Officers’ liability insurance in India 15 years ago,” said Sanjay Kedia, country head, Marsh India.“One major difference though is that the cyber risk incident is on the rise at a much faster pace, and the nature of risk is far more dynamic and possibly explosive in many situations.” In 2017, public sector lender Union Bank of India was hacked and a whopping $171 million was debited from the bank’s account through Society for Worldwide Interbank Financial Telecommunication or SWIFT payments without the bank’s authorisation.The money was retrieved after the bank acted with the help of government agencies. In 2016, card data of 3.2 million customers was stolen from a network of Yes Bank ATMs managed by Hitachi Payment Services. Banks in India had to reissue cards and faced a combined loss of more than $2 million after hackers allegedly penetrated the system that carried out the processing of ATM transactions. There have been cases of mobile phone applications of banks being hacked by cyber-criminals. The pilferage of personal information and money in digital wallets has cost banks crores of rupees."
6,Terror insurance spending up four-fold in UK public sector,"The UK's public sector has increased its spending on insurance against terrorist attacks four-fold over the past 12 months. Roughly £56m ($76m) of contracts included terrorism coverage were underwritten in 2017, up from £14m in 2016. Recent attacks are said to have caused less physical damage than previous incidents. Business interruption from these attacks, however, has been notable, with insurers criticised for failing to get payouts to businesses impacted by last year's attack at Borough Market, losses from which are estimated to have been £1.4m. 
",http://www.telegraph.co.uk/business/2018/01/02/public-sector-quadruples-spending-terror-insurance/,2018-01-04 11:09:15.640000,"Public sector organisations have quadrupled the amount of money they spend on insuring against terror attacks over the past year, in a bid to protect against disruption to their services.

Around £56m of contract awards for insurance services that include terror cover were issued in 2017, up from £14m the previous year, according to data company Tussell, which tracks public contracts.

Typically, terrorism cover will insure an organisation against damage to its property in the event of a terror attack.

One of the most recent contracts awarded was to Fidelis Underwriting to insure Southwark Council’s headquarters building at 160 Tooley Street, which is close to the site of the London Bridge attack in June. The contract, worth £34,000, means the insurer would pay out for damage to the building in the event of another attack.

There have been moves from the insurance industry to try to broaden coverage, in the wake of attacks this year. Current rules were established during the Nineties, when the major threat was from the IRA.

More recent attacks have been less damaging to physical assets but have resulted in major business disruption. Neil Coyle, MP for Bermondsey and Old Southwark, hit out at insurers in the wake of the Borough Market attack after traders struggled to get payouts, suggesting losses were around £1.4m."
7,Land values for logistics and data centre hubs doubled in 2017,"The average price for large industrial plots of land of between 50 and 100 acres doubled last year from $50,000 to $100,000 per acre, thanks to increased demand for data hubs and distribution centres, according to a survey by CBRE. In an examination of 10 US markets, plots of between five and 10 acres, suitable for ""last-mile"" depots, cost $250,000 per acre by the end of last year, an increase of $50,000 on 2016. David Egan, the global head of CBRE's Industrial & Logistics Research division, said that demand is not likely to drop in the near future.",https://www.cnbc.com/2018/01/02/internet-giants-fuel-warehouse-demand-as-industrial-land-prices-surge.html?lipi=urn%3Ali%3Apage%3Ad_flagship3_feed%3Bw%2B4z9KvYQU6glzxbgyCA%2Bg%3D%3D,2018-01-04 10:59:01.237000,"A worker pulls carts full of customer orders along the floor inside the million-square foot Amazon distribution warehouse that opened last fall in Fall River, MA.

Land fit for future fulfillment centers for the likes of Amazon and Walmart saw huge spikes in prices last year, according to real estate services firm CBRE.

In a trend largely stemming from the growth of e-commerce players across the U.S., some plots of land now cost twice the amount they did a year ago, the group found. This is especially true in major markets, including Atlanta and Houston.

In surveying 10 U.S. markets, CBRE found the average price for ""large industrial parcels"" (50 to 100 acres) now sits at more than $100,000 per acre, up from about $50,000 a year ago.

Industrial land plots of five to 10 acres, which typically house infill distribution centers for completing ""last-mile"" deliveries, watched their prices soar to more than $250,000 per acre by the end of 2017, up from roughly $200,000 a year ago, according to CBRE. Located in more bustling metropolitan settings, these warehouses must help retailers serve consumers closer to their homes.

To be sure, industry experts say that despite an uptick in construction of late, there's still a long way to go before supply aligns with demand."
8,Regus Birmingham breaks 1 million sq ft office take-up for first time,"Office take-up in Birmingham during 2017 broke the one million sq ft barrier for the first time, in spite of a slow first half to the year, according to data from the city's Office Market Forum. The year saw a total of 130 deals and beating the previous record of 970,458 sq ft in 2015. The figures were given a fillip by demand linked to the planned HS2 high-speed rail link, and the UK government committing to the city's biggest pre-let in 10 years.
",http://www.commercialnewsmedia.com/archives/69509,2018-01-04 10:25:48.097000,"Office take up in quarter four, 2017 in the central Birmingham office market totalled 354,530 sq ft in 49 deals as scheduled in the table below, compiled by the Birmingham Office Market Forum.

When added to the 81 deals totalling 650,542 sq ft recorded in the first three quarters of the year, the 2017 year-end total take up amounts to 1,005,072 sq ft in 130 deals.

This compares with:

692,729 sq ft in 139 deals for 2016

970,458 sq ft in 132 deals for 2015

713,460 sq ft in 148 deals for 2014

664,147 sq ft in 128 deals for 2013

The 2017 outcome is a record take up year, beating the previous high seen in 2015.

Office take up was boosted by the emergence of HS2 related demand together with the Government committing to the largest prelet seen in the city for a decade. In addition, key larger transactions were concluded in the Professional Services and the Serviced Office sectors.

Breaking 1 million sq ft office take up for the first time is extremely positive for Birmingham during the current period of unprecedented development activity and further regeneration, visible across the BOMF area. It is also particularly encouraging bearing in mind the slow first half of the year following on from the dip seen in the previous year’s total.

For further information please contact the author of the report Jonathan Carmalt, Director, Office Agency, JLL on 0121 214 9935 or email [email protected]

Birmingham Office Market Forum was established in 2007 to present a co-ordinated voice to investors, developers and occupiers about Birmingham’s city centre office market.

The Forum brings together the city’s leading office agents and Business Birmingham.

For a list of member firms or further information visit their website"
9,UK insurers may cover health claims based on chatbot diagnosis,"Machine learning chatbots – such as Ada, which helps UK residents make preliminary assessments about their health – could lead to insurance companies offering coverage for virtual consultations. Industry insiders have suggested that a chatbot's ability to personalise consultations makes them less likely to make mistakes, leading to less risk for insurers. The country's National Health Service is using a chatbot assessment service in an attempt to reduce A&E patient numbers.
",https://venturebeat.com/2018/01/03/insurers-in-the-uk-could-be-the-first-to-cover-chatbot-consultations/,2018-01-04 10:14:10.870000,"Elevate your enterprise data technology and strategy at Transform 2021.

People use chatbots to find homes, interact with their favorite brands, and schedule appointments. Many consumers are onboard with using chatbots to gather instant, personalized information.

In many cases, chatbots are the first point of contact for individuals who feel unwell and need to decide whether to head to the doctor. As this technology becomes more prominent, people understandably begin to wonder if insurance companies will cover sessions with chatbot doctors. Given their innovative use of chatbots in the health care sector, it’s looking like insurers and health organizations in the U.K. could be the first to establish insurance coverage for health consultations with chatbots.

How do chatbot doctors work?

People who have yet to interact with a chatbot doctor might wonder how they work. Could a bot know as much as physicians who have completed years of medical school and relevant work experience?

Sometimes, the chatbot makes a preliminary assessment about a person’s health depending on the responses the individual gives to targeted questions. One such chatbot called Ada is available to residents in the United Kingdom. The assessment is free, and the bot avoids providing a set-in-stone diagnosis. Ada uses artificial intelligence to get continually smarter with ongoing use.

The developers know Ada won’t replace doctors but hope the bot will help more patients understand what their symptoms might mean. However, a person can also supplement the assessment portion by talking to an actual doctor. That option is offered for a fee and includes receiving a prescription if needed.

Individuals frequently head to sites such as WebMD and end up with a questionable self-diagnosis. This is why it makes sense that insurers would be open to the idea of paying for patient interactions that begin with chatbots. A bot’s ability to personalize its conversations with patients could theoretically yield a smaller margin of error and be less likely to provide misleading information.

Reducing emergency room visits

The U.K.’s National Health Service (NHS) is also trying out a chatbot that asks people a series of questions when they dial the nationwide emergency number to indicate whether or not they need an ambulance. Representatives hope the service will reduce the number of people dispatchers send to emergency rooms.

When too many callers are sent to the emergency room, patients wait in hospitals for several hours or even longer before receiving treatment. Those in favor of chatbots say the technology could keep emergency room visits at more manageable levels. In contrast, critics assert that the NHS previously used a symptom checker app that made highly publicized and dangerous blunders when advising some patients, and they think the same problems could occur with the chatbot.

The NHS provides free health care to legal residents of the United Kingdom that covers most needs, including emergency care and visits with general practitioners. However, the NHS assists over 1 million patients in England every 36 hours. People who rely on the NHS for health care often deal with long waits. To compensate, those who can afford them often subscribe to private insurance plans.

It will be interesting to gauge the outcome of this NHS program, especially considering how many people rely on the NHS. If things go well, the positive result could prompt insurance companies to accept claims from customers who receive advice from chatbots regarding their well-being.

How much are chatbots worth?

It remains to be seen if insurance companies in the United Kingdom and elsewhere will cover chatbot doctors. The evidence to suggest their willingness — or lack thereof — to do so is not available yet because the technology is too new.

One reason insurers might balk at the idea of paying for this kind of coverage is the need to determine the fair market value of compensation for such services. In some areas, health facilities use telehealth providers to reduce the need for on-call personnel. However, the relevant valuators in those locations must remain aware of federal and state laws surrounding telemedicine. If they fail to do so, over- or undercompensation could occur during the billing and collection processes.

Some telemedicine laws have not been in place for very long. Not surprisingly, many locations have not even considered chatbots in the equation.

Helping people understand their coverage

Although insurance companies haven’t made it clear whether they’re completely onboard with covering chatbots, it seems promising that some are already using chatbots to help customers achieve a higher level of understanding about their coverage packages.

For example, Now Health International is a company that provides health insurance for expatriates. The headquarters is in Hong Kong, and the establishment has other branches in Asia and the United Kingdom.

This summer, the insurance provider launched a chatbot through Facebook Messenger. Regardless of whether users are existing customers or are only thinking about purchasing coverage packages, they can use the chatbot to find physicians in the Now Health International network or get questions answered about filing claims and receiving quotes.

The chatbot can also recognize keywords entered by a user into the chat window. When it picks up on those words, the technology automatically directs the person to the proper area of the website for further information.

The increasingly widespread use of chatbots for health — including those provided by insurance companies — indicates that some insurers are laying the necessary foundation for covering chatbots in the future. However, it’s likely that before that happens, we must pass legislation clarifying the valuation-related questions that could arise during claims, billing, and other aspects.

As consumers become more comfortable with using chatbots to ask questions about their health or insurance, the increased prevalence of the technology in the marketplace could push officials to iron out the details. That would pave the way for insurance companies to clearly mention they accept claims related to treatment that involves chatbot doctors on their websites or insurance documents. Insurers may also stipulate that they will not offer coverage to patients who did not speak to actual doctors during their chatbot-driven conversations and only used the chatbots for preliminary advice.

Chatbots could drastically change how people manage their health care needs. Similarly, they could alter how doctors treat patients and how insurers handle the claims. Since the technology is in its infancy, however, it’s only possible to perform research and make educated speculations.

Kayla Matthews is senior writer for MakeUseOf. Her work has also appeared on Vice, The Next Web, The Week, and TechnoBuffalo."
